sl_no,project_name,agency,project_code,legacy_ocms_code,pmgid,state,approval_start_date,original_target_doc,revised_doc,original_cost,revised_cost,cumulative_expenditure,physical_progress,reporting_period,source_filename
1,"CONSTRUCTION OF NEW INTEGRATED TERMINAL BUILDING AT VSI AIRPORT, PORTBLAIR",AAI,N04000073,,,,10-2013,9/2018,Jun-2023,417.23,707.73,698.80,100.00,2025-06,FR_JUNE_2025.pdf
2,LUDHIANA KILA RAIPUR (19 KMS) WITH FREIGHT LINE AT GILL STATION ON LDH-JHL SECTION,NR,N22000584,,,,3-2019,3/2025,Aug-2025,235.72,N.A.,59.78,55.00,2025-06,FR_JUNE_2025.pdf
3,MAJOR BRIDGE OVER MIDDLE STRAIT CREEK,NHIDCL,N24002207,,,,12-2024,2/2026,N.A.,371.80,207.99,0.00,5.23,2025-06,FR_JUNE_2025.pdf
4,PACKAGE-3A,NHIDCL,N24002208,,,,2-2018,9/2025,Mar-2024,207.54,154.01,16.21,39.27,2025-06,FR_JUNE_2025.pdf
5,PACKAGE-3B,NHIDCL,N24002209,,,,2-2018,11/2025,N.A.,183.47,N.A.,18.36,34.01,2025-06,FR_JUNE_2025.pdf
6,"2 LANE WITH HARD SHOLDER , REHABILITATION AND UP GRADATION OF SECTION FROM KM 242.0 TO KM 298.0 OF N",NHIDCL,N24000745,,,,3-2017,12/2019,Mar-2023,409.85,N.A.,214.23,95.23,2025-06,FR_JUNE_2025.pdf
7,REHABILITATION AND UP GRADATION OF SECTION FROM KM 206.00 TO KM 242.00 (NIMBUTALA TO AUSTIN CREEK) O,NHIDCL,N24000749,,,,3-2018,9/2020,Nov-2022,234.27,N.A.,126.50,83.00,2025-06,FR_JUNE_2025.pdf
8,Rehabilitation and up gradation to 2 lane with paved shoulder configuration from existing km. 122.00,MoRTH,N24000820,,,,11-2017,11/2019,N.A.,237.80,N.A.,222.13,98.23,2025-06,FR_JUNE_2025.pdf
9,RECONSTRUCTION WITH GEOMETRIC IMPROVEMENT OF EXISTING 2 LANE/INTERMEDIATE LANE TO 2LANE WITH PAVED S,MoRTH,N24000821,,,,11-2017,11/2019,N.A.,257.34,N.A.,214.90,100.00,2025-06,FR_JUNE_2025.pdf
10,C/O OF NITB AND ASSOCIATED WORK AT VIJAYAWADA AIRPORT,AAI,N04000091,,,,4-2020,3/2023,Aug-2025,611.80,N.A.,449.66,75.25,2025-06,FR_JUNE_2025.pdf
11,RAJAHMUNDRY AIRPORT: CONSTRUCTION OF NEW DOMESTIC TERMINAL BUILDING AND MISCELLANEOUS WORKS INCLUD,AAI,N04000103,,,,12-2022,8/2025,N.A.,347.15,347.15,76.86,46.00,2025-06,FR_JUNE_2025.pdf
12,KADAPPA AIRPORT- CONSTRUCTION OF NEW DOMESTIC TERMINAL BUILDING AND MISCELLANEOUS WORKS INCLUDING MA,AAI,N04000106,,,,3-2023,1/2026,Mar-2026,265.91,265.91,39.54,29.00,2025-06,FR_JUNE_2025.pdf
13,CONSTRUCTION OF PERMANENT CAMPUS FOR INDIAN INSTITUTE OF TECHNOLOGY TIRUPATI AT MERLAPAKA VILLAGE YE,CPWD EDUCATION,N42000005,,,,2-2019,6/2020,N.A.,655.34,N.A.,366.21,95.00,2025-06,FR_JUNE_2025.pdf
14,"CONSTRUCTION OF PERMANENT CAMPUS FOR IISER AT JANGALAPALLI VILLAGE, YERPEDU MANDAL, CHITTOOR DISTRIC",CPWD EDUCATION,N42000007,,,,9-2019,9/2022,N.A.,588.72,656.39,630.55,100.00,2025-06,FR_JUNE_2025.pdf
15,KG-DWN-98-2 CLUSTER II DEVELOPMENT PROJECT,ONGC,N16000247,,,,3-2016,6/2020,Mar-2025,34012.00,N.A.,33167.16,96.40,2025-06,FR_JUNE_2025.pdf
16,HP CRUDE TO OLEFINS AND AROMATICS TECHNOLOGY DEMO UNIT AT VISAKH REFINERY,HPCL,N16000432,,,,9-2021,6/2024,Mar-2026,160.00,220.00,75.86,59.40,2025-06,FR_JUNE_2025.pdf
17,"CGD PROJECT AT KURNOOL, GUNTUR AND PRAKASAM DISTRICTS",IOCL,N16000485,,,,3-2022,3/2030,N.A.,1420.00,N.A.,153.86,6.20,2025-06,FR_JUNE_2025.pdf
18,MULTI-PRODUCT PIPELINE FROM KRISHNAPATNAM COASTAL INSTALLATION TO THE PROPOSED INSTALLATION AT HYDER,BPCL,N16000499,,,,9-2019,3/2025,N.A.,1932.00,N.A.,1498.21,94.30,2025-06,FR_JUNE_2025.pdf
19,HP TRIJET UNIT IN VR,HPCL,N16000535,,,,7-2024,7/2027,N.A.,193.00,N.A.,0.43,23.00,2025-06,FR_JUNE_2025.pdf
20,CONSTRUCTION OF AVIATION FUEL FARM FACILITIES AT BHOGAPURAM AIRPORT,HPCL,N16000538,,,,8-2024,3/2026,N.A.,240.00,N.A.,22.34,42.80,2025-06,FR_JUNE_2025.pdf
21,VISAKHA RAIPUR PIPELINE PROJECT,HPCL,N16000539,,,,9-2024,9/2027,N.A.,2212.00,N.A.,8.32,6.03,2025-06,FR_JUNE_2025.pdf
22,TRANSMISSION SCHEME FOR SOLAR ENERGY ZONE IN ANANTHPURAM (2500MW) AND KURNOOL (1000MW),PGCIL,N18000380,,,,9-2023,3/2025,N.A.,1249.00,N.A.,761.69,67.50,2025-06,FR_JUNE_2025.pdf
23,AUGMENTATION OF 1500MVA 3RD 765/400KV TRANSFORMATION CAPACITY AT KURNOOL NEW SUBSTATION,PGCIL,N18000395,,,,5-2023,9/2025,N.A.,164.00,N.A.,60.00,33.00,2025-06,FR_JUNE_2025.pdf
24,TRANSMISSION SYSTEM FOR INTEGRATION OF KURNOOL-IV REZ PHASE-I (FOR 4.5 GW),PGCIL,N18000413,,,,3-2025,3/2027,N.A.,5000.00,N.A.,20.00,,2025-06,FR_JUNE_2025.pdf
25,TRANSMISSION SYSTEM STRENGTHENING AT KURNOOL- III PS FOR INTEGRATION OF ADDITIONAL RE GENERATION PRO,PGCIL,N18000416,,,,3-2025,3/2027,N.A.,2886.00,N.A.,20.20,,2025-06,FR_JUNE_2025.pdf
26,KOTLPALLI-NARASAPUR (NL) (SCR),SCR,220100265,,,,12-2001,3/2028,N.A.,2500.98,N.A.,1141.44,18.00,2025-06,FR_JUNE_2025.pdf
27,NADIKUDE-SRI KALAHASTI,SCR,N22000286,,,,4-2011,5/2027,N.A.,2312.00,N.A.,1977.09,,2025-06,FR_JUNE_2025.pdf
28,GUNTUR-GUNTAKAL,SCR,N22000368,,,,4-2016,12/2025,N.A.,3733.37,N.A.,3606.85,,2025-06,FR_JUNE_2025.pdf
29,VIJAYAWADA-GUDUR,RVNL,N22000369,,,,4-2015,11/2024,N.A.,6654.00,N.A.,5883.89,,2025-06,FR_JUNE_2025.pdf
30,KOTTAVALSA - KORAPUT DOUBLING,ECOR,N22000377,,,,4-2015,3/2022,N.A.,2499.71,N.A.,1965.11,70.00,2025-06,FR_JUNE_2025.pdf
31,"PENUKONDA-DHARMAVARAM, EXCL. DHARMAVARAM (41.5 KM)",SWR,N22000555,,,,4-2019,3/2026,N.A.,294.67,307.66,213.03,60.00,2025-06,FR_JUNE_2025.pdf
32,MALUGUR-PALASAMUDRAM (17.98 KM) (PB#29/NR/2022-23),SWR,N22000556,,,,9-2022,12/2025,N.A.,323.14,342.41,46.89,12.00,2025-06,FR_JUNE_2025.pdf
