sl_no,project_code,legacy_ocms_code,pmgid,project_name,state,implementing_agency,start_date,original_completion_date,revised_completion_date,original_cost,revised_cost,cumulative_expenditure,physical_progress,reporting_period,source_filename
1,Airport Authority of India [AAI],612786,,Construction of New Domestic Terminal Building Building and miscellaneous works,Andhra Pradesh,"including maintenance, operations and AICMC at Kadapa Airport",2023-03,2026-01,2026-03,265.91,265.91,67.22,39,2025-10,FlashReport_October_2025.pdf
2,Airport Authority of India [AAI],701107,,Construction of New Integrated Terminal Building and associated works including apron to park 3 code E type of aircraft or 6 code C type of aircraft at Vijayawada,Andhra Pradesh,Airport.,2020-06,2022-09,2025-12,611.8,611.8,507.14,84,2025-10,FlashReport_October_2025.pdf
3,,,,Construction of New Domestic Terminal Building at Rajahmundry Airport. (Airport Authority of India [AAI]) (701121),Andhra Pradesh,,2022-12,2025-08,2025-12,347.15,347.15,102.43,57,2025-10,FlashReport_October_2025.pdf
4,,,,Guwahati Airport New Integrated Terminal Building Construction Project (Adani Airport Holdings Limited) (706724),Assam,,2016-12,2025-03,2025-11,1712,1712,2397.37,91,2025-10,FlashReport_October_2025.pdf
5,,,,Development of New Civil Enclave at Bihta (Airport Authority of India [AAI]) (612183),Bihar,,2024-08,2027-09,,1413,1413,0,1,2025-10,FlashReport_October_2025.pdf
6,,,,Development of New Civil Enclave and associated works at Darbhanga Airport (Airport Authority of India [AAI]) (612194),Bihar,,2024-07,2026-01,,911.66,911.66,213.22,38,2025-10,FlashReport_October_2025.pdf
7,Airport Authority of India [AAI],701101,,Construction of New Domestic Terminal Building [Phase-I and II] and other allied,Bihar,"structures at JPNI Airport, Patna",2018-12,2023-07,2025-11,1216.9,1216.9,1125.73,95,2025-10,FlashReport_October_2025.pdf
8,,,,Goa Airport Terminal Building Extension Project (Airport Authority of India [AAI]) (701105),Goa,,2017-11,2021-12,2025-09,255.69,255.69,154.3,94,2025-10,FlashReport_October_2025.pdf
9,,,,"Development of Dholera International Greenfield Airport , Gujarat (Airport Authority of India [AAI]) (701126)",Gujarat,,2022-06,2026-06,2026-06,1305,1551,718.2,67,2025-10,FlashReport_October_2025.pdf
10,Airport Authority of India [AAI],611047,,"Construction of NTB complex including apron, taxi track and other associated civil",Jammu and Kashmir,works and electrical & mechanical installations towards Tawi River side at CA Jammu.,2022-07,2026-06,2026-06,861.37,861.37,212.12,39,2025-10,FlashReport_October_2025.pdf
11,Airport Authority of India [AAI],612787,,Construction of New Domestic Terminal Building and Miscellaneous works at Hubli,Karnataka,Airport,2023-06,2026-01,2026-03,320.47,320.47,81.22,45,2025-10,FlashReport_October_2025.pdf
12,Airport Authority of India [AAI],612788,,Construction of New Domestic Terminal Building and Miscellaneous Works at,Karnataka,Belagavi Airport.,2023-06,2026-01,2026-01,322.45,322.45,140.4,59,2025-10,FlashReport_October_2025.pdf
13,Airport Authority of India [AAI],612789,,"Development of additional RESA on either end on Runway 10-28 at Calicut Airport. Construction of embankment with slope protection, drainage system and associated",Kerala,works for additional RESA on either end on Runway 10-28,2023-06,2025-09,2026-03,484.57,484.57,91.67,23,2025-10,FlashReport_October_2025.pdf
14,,,,"Construction of Terminal Building & Associated works at Leh Airport, Ladakh (Airport Authority of India [AAI]) (400010)",Ladakh,,2018-07,2021-09,2025-10,480,640,471.59,77,2025-10,FlashReport_October_2025.pdf
15,,,,C/o NITB Imphal Airport (Airport Authority of India [AAI]) (706718),Manipur,,2021-11,2024-07,2026-12,499,499,155.72,41,2025-10,FlashReport_October_2025.pdf
16,Airport Authority of India [AAI],611570,,"SITC of ATM Automation System and ASMGCS [Including SMR & MLAT] for Mumbai,","Multi-States (Karnataka, Maharashtra, Telangana, Uttar Pradesh)","Navi Mumbai, Jewar [earlier MOPA, without ASMGCS], HIAL & BIAL",,2025-09,2026-08,500.48,500.48,332.26,75,2025-10,FlashReport_October_2025.pdf
17,Airport Authority of India [AAI],701127,,Construction of New Passenger Terminal Building for Domestic Operations at Jodhpur,Rajasthan,Airport.,2022-05,2024-11,2025-11,480,480,317.88,96,2025-10,FlashReport_October_2025.pdf
18,,,,Construction of New Integrated Passenger Terminal Building at Udaipur Airport (Airport Authority of India [AAI]) (701128),Rajasthan,,2023-06,2026-03,2026-10,887,887,378.81,50,2025-10,FlashReport_October_2025.pdf
19,Airport Authority of India [AAI],612793,,"Widening of basic strip at Western Side of Runway Chainage 80m to 920m i/c slope stabilization Measures [Balance work] of uphill and Improvement of Storm Water Drainage System at Pakyong Airport, Sikkim on design & build basis [EPC] with",Sikkim,integrated 10 years maintenance.,2023-11,2026-02,,323.26,323.26,38.69,14,2025-10,FlashReport_October_2025.pdf
20,,,,"Modernization of Chennai Airport, Phase II, Part 2 (Airport Authority of India [AAI]) (611602)",Tamil Nadu,,2018-05,2025-07,2026-06,1207,1207,183.02,25,2025-10,FlashReport_October_2025.pdf
21,Airport Authority of India [AAI],612063,,"Construction of New Terminal Building, Second Link Taxi Track, Apron Expansion,",Uttar Pradesh,and associated works at Prayagraj Airport- On Design & Build Basis.,,2024-11,2025-08,219.18,274.38,215.2,100,2025-10,FlashReport_October_2025.pdf
22,,,,Lucknow Airport-Terminal 3- Phase 1 & Other Associated Works (Adani Airport Holdings Limited) (701091),Uttar Pradesh,,2018-06,2026-03,,3100,3100,16024.42,100,2025-10,FlashReport_October_2025.pdf
23,Airport Authority of India [AAI],701113,,"Development of Lal Bahadur Shastri International airport, Varanasi including C/o New",Uttar Pradesh,"Terminal Building, Apron Extension, Runway Extension, PTT and allied works.",2024-07,2027-07,2027-07,2869.65,2869.65,361.71,18,2025-10,FlashReport_October_2025.pdf
24,,,,Development of New Integrated Civil Enclave at Agra Airport (Airport Authority of India [AAI]) (701122),Uttar Pradesh,,2024-06,2026-07,,579,579,88.64,20,2025-10,FlashReport_October_2025.pdf
25,,,,Development of New Civil Enclave at Bagdogra Airport (Airport Authority of India [AAI]) (611495),West Bengal,,2024-08,2027-01,2027-01,1549,1549,310.58,13,2025-10,FlashReport_October_2025.pdf
26,Airport Authority of India [AAI],612791,,"Re-Construction of Rigid portions of Secondary Runway, K and A Taxiway and",West Bengal,Strengthening of C Taxiway at NSCBI Airport Kolkata.,2023-04,2025-02,2026-08,328.3,328.3,107.6,49,2025-10,FlashReport_October_2025.pdf
27,,,,TIKAK EXTENSION OCP (MIS MoCoal Integration Logins) (615820),Assam,,2022-07,2031-07,,159.77,159.77,81.47,0,2025-10,FlashReport_October_2025.pdf
28,,,,TIRAP OCP (MIS MoCoal Integration Logins) (615821),Assam,,2022-11,2030-11,,289.46,289.46,105.6,3,2025-10,FlashReport_October_2025.pdf
29,,,,PORDA CHIMTAPANI OCP [10 MTY] (South Eastern Coalfields Limited [SECL]) (400144),Chhattisgarh,,2020-12,2029-03,,2310.12,2310.12,87.97,10,2025-10,FlashReport_October_2025.pdf
30,,,,CHHAL OC SEAM III [6 MTY] (South Eastern Coalfields Limited [SECL]) (400145),Chhattisgarh,,2013-12,2022-03,2025-11,610.63,610.63,579.82,85,2025-10,FlashReport_October_2025.pdf
31,,,,BAROUD OC EXPANSION [3.0-10.0M (South Eastern Coalfields Limited [SECL]) (400149),Chhattisgarh,,2020-08,2029-03,,2309.8,2309.8,937.38,50,2025-10,FlashReport_October_2025.pdf
32,,,,DIPKA EXPANSION OCP [40 MTY] (South Eastern Coalfields Limited [SECL]) (400354),Chhattisgarh,,2020-12,2029-03,,5241.4,5241.4,2841.08,37,2025-10,FlashReport_October_2025.pdf
33,,,,GEVRA OC [70 MTY] (South Eastern Coalfields Limited [SECL]) (400424),Chhattisgarh,,2016-03,2023-03,2026-03,11816.4,11816.4,6687.44,78,2025-10,FlashReport_October_2025.pdf
34,,,,JAMPALI OC RCE [2.0 MTY] (South Eastern Coalfields Limited [SECL]) (613795),Chhattisgarh,,2020-05,2025-03,2025-06,278.64,278.64,210.07,82,2025-10,FlashReport_October_2025.pdf
35,,,,AMERA OC RCE [1.0 MTY] (South Eastern Coalfields Limited [SECL]) (613798),Chhattisgarh,,2015-02,2026-03,,335.97,335.97,88.24,42,2025-10,FlashReport_October_2025.pdf
36,,,,AMGAON OC RCE [1.0 MTY] (South Eastern Coalfields Limited [SECL]) (613799),Chhattisgarh,,2015-07,2026-03,,316.11,316.11,188.62,78,2025-10,FlashReport_October_2025.pdf
37,,,,JAGANNATHPUR OC RCE PROJECT (South Eastern Coalfields Limited [SECL]) (613800),Chhattisgarh,,2016-07,2025-03,2026-03,459.49,459.49,274.35,96,2025-10,FlashReport_October_2025.pdf
38,,,,MAHAMAYA OCP [1.50 MTY] (South Eastern Coalfields Limited [SECL]) (613801),Chhattisgarh,,2018-05,2026-03,,410.26,410.26,182.83,54,2025-10,FlashReport_October_2025.pdf
39,,,,KATKONA RO UG MINE (South Eastern Coalfields Limited [SECL]) (615191),Chhattisgarh,,2023-01,2029-03,,329.21,329.21,61.34,2,2025-10,FlashReport_October_2025.pdf
40,,,,PELMA OC MDO (South Eastern Coalfields Limited [SECL]) (616234),Chhattisgarh,,2022-10,2033-03,,1725.04,1725.04,15.66,40,2025-10,FlashReport_October_2025.pdf
41,,,,KUSMUNDA OC EXPANSION PROJECT (SECL - CIL) (617287),Chhattisgarh,,2024-11,2030-03,,4516.88,4516.88,775.13,21,2025-10,FlashReport_October_2025.pdf
42,,,,MANIKPUR OC EXPANSION PROJECT (South Eastern Coalfields Limited [SECL]) (617288),Chhattisgarh,,2025-01,2029-03,,382.61,382.61,113.03,21,2025-10,FlashReport_October_2025.pdf
43,,,,HURA C OCP (ECL - CIL) (400018),Jharkhand,,2022-08,2029-03,,859.41,859.41,451.62,62,2025-10,FlashReport_October_2025.pdf
44,,,,KONAR EXPANSION OCP (Ministry of Coal) (400073),Jharkhand,,2022-01,2032-03,,799.34,799.34,429.65,45,2025-10,FlashReport_October_2025.pdf
45,,,,KARO EXPANSION OCP (Ministry of Coal) (400074),Jharkhand,,2022-01,2029-03,,908.47,908.47,269.26,22,2025-10,FlashReport_October_2025.pdf
46,,,,SANGHMITRA OC (Ministry of Coal) (400136),Jharkhand,,2024-03,2032-03,,2660,2660,0,0,2025-10,FlashReport_October_2025.pdf
47,,,,CHANDRAGUPT OCP (Ministry of Coal) (400138),Jharkhand,,2020-08,2032-03,,973.5,973.5,440.56,24,2025-10,FlashReport_October_2025.pdf
48,,,,KOTRE BASANTPUR PACHMO OCP (Ministry of Coal) (400139),Jharkhand,,2020-08,2032-03,,861.06,625.4,455.95,42,2025-10,FlashReport_October_2025.pdf
49,,,,Pachwara South Coal Block (NLC India Limited [NLCIL]) (400142),Jharkhand,,2016-03,2028-09,,2242.9,2242.9,1220.76,74,2025-10,FlashReport_October_2025.pdf
50,,,,RPR MAGADH EXP OCP (Ministry of Coal) (400150),Jharkhand,,2020-08,2028-03,,7254.37,7254.37,1600.77,38,2025-10,FlashReport_October_2025.pdf
51,,,,NORTH URIMARI EXPANSION OCP (Ministry of Coal) (400151),Jharkhand,,2021-07,2029-03,,778.8,778.8,696.05,67,2025-10,FlashReport_October_2025.pdf
52,,,,EPR ROHINI - KARKETTA OCP (Ministry of Coal) (400153),Jharkhand,,2021-01,2028-03,,1020.42,1020.42,84.74,21,2025-10,FlashReport_October_2025.pdf
53,,,,EPR PUNDI OCP (Ministry of Coal) (400154),Jharkhand,,2020-11,2027-03,,713.35,713.35,236.58,10,2025-10,FlashReport_October_2025.pdf
54,,,,EPR ASHOK OC (Ministry of Coal) (400155),Jharkhand,,2021-05,2031-03,,2898.28,2898.28,179.7,24,2025-10,FlashReport_October_2025.pdf
55,,,,EPR AMRAPALI OCP (Ministry of Coal) (400156),Jharkhand,,2020-02,2028-03,,5136.15,5136.15,1168.11,42,2025-10,FlashReport_October_2025.pdf
56,,,,RAJRAPPA RCE OCP (Ministry of Coal) (400160),Jharkhand,,2009-12,2016-03,2027-03,510.85,510.85,488.69,76,2025-10,FlashReport_October_2025.pdf
57,,,,CHITRA EAST OC (Eastern Coal Fields Limited [ECL]) (400172),Jharkhand,,2018-08,2026-03,2028-03,513.99,513.99,229.86,51,2025-10,FlashReport_October_2025.pdf
